h0,h1,h2,h3,h4,h5,h6,Final Score
8,2,9,5,9,9,2,103315.0
8,2,9,9,10,1,0,68205.0
8,2,9,9,10,1,7,60440.0
8,2,9,9,10,1,9,74980.0
8,2,9,9,10,4,5,50024.0
8,2,9,9,10,4,2,35262.0
8,2,9,9,10,4,3,47710.0
8,2,9,9,10,11,8,115264.0
8,2,9,9,10,11,4,51195.0
8,2,9,9,10,11,11,126273.0
8,2,9,9,5,9,10,106129.0
8,2,9,9,5,9,3,103042.0
8,2,9,9,5,9,0,97017.0
8,2,9,9,5,5,4,52690.0
8,2,9,9,5,5,3,101858.0
8,2,9,9,5,5,10,105297.0
8,2,9,9,5,4,2,35157.0
8,2,9,9,5,4,0,44024.0
8,2,9,9,5,4,5,49267.0
8,2,9,9,9,2,5,106198.0
8,2,9,9,9,2,6,102806.0
8,2,9,9,9,2,7,89968.0
8,2,9,9,9,7,10,89666.0
8,2,9,9,9,7,8,89666.0
8,2,9,9,9,7,3,84637.0
8,2,9,9,9,9,8,107550.0
8,2,9,9,9,9,0,99657.0
8,2,9,9,9,9,2,107550.0
8,2,9,0,8,11,0,98040.0
8,2,9,0,8,11,11,114310.0
8,2,9,0,8,11,3,99193.0
8,2,9,0,8,3,7,77553.0
8,2,9,0,8,3,3,93516.0
8,2,9,0,8,3,1,67020.0
8,2,9,0,8,8,4,43459.0
8,2,9,0,8,8,8,98454.0
8,2,9,0,8,8,5,96543.0
8,2,9,0,7,9,0,82940.0
8,2,9,0,7,9,9,83199.0
8,2,9,0,7,9,2,75409.0
8,2,9,0,7,11,8,88193.0
8,2,9,0,7,11,3,81942.0
8,2,9,0,7,11,6,80837.0
8,2,9,0,7,2,1,53217.0
8,2,9,0,7,2,11,85632.0
8,2,9,0,7,2,10,76319.0
8,2,9,0,2,11,10,104100.0
8,2,9,0,2,11,5,102569.0
8,2,9,0,2,11,1,75076.0
8,2,9,0,2,5,5,94314.0
8,2,9,0,2,5,8,96136.0
8,2,9,0,2,5,11,103963.0
8,2,9,0,2,1,4,36030.0
8,2,9,0,2,1,11,76598.0
8,2,9,0,2,1,2,68654.0
8,2,4,1,0,2,9,33714.0
8,2,4,1,0,2,2,33714.0
8,2,4,1,0,2,5,33524.0
8,2,4,1,0,4,0,25688.0
8,2,4,1,0,4,6,25867.0
8,2,4,1,0,4,7,21809.0
8,2,4,1,0,9,6,37298.0
8,2,4,1,0,9,7,35036.0
8,2,4,1,0,9,3,39938.0
8,2,4,1,9,0,11,49499.0
8,2,4,1,9,0,3,40207.0
8,2,4,1,9,0,7,37078.0
8,2,4,1,9,9,9,43832.0
8,2,4,1,9,9,6,41378.0
8,2,4,1,9,9,4,22280.0
8,2,4,1,9,2,4,20355.0
8,2,4,1,9,2,0,32205.0
8,2,4,1,9,2,3,33433.0
8,2,4,1,6,5,5,42168.0
